Study years,species,Region,Island,Clutch Completion,Date egg,culmen length,culmen depth,flipper length,body mass,sex,Delta 15 N,Delta 13,comments,year
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,39.1,18.7,181.0,3750.0,Male,8.99311370797132,-25.96366841536627,Not enough blood for isotopes.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,39.5,17.4,186.0,3800.0,Female,8.94956,-24.69454,,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,40.3,18.0,195.0,3250.0,Female,8.36821,-25.33302,,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,39.89844868277266,18.690865521504012,212.56819852325052,4989.252844290249,,8.902246370868095,-25.890453557798253,Adult not sampled.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,36.7,19.3,193.0,3450.0,Female,8.76651,-25.32426,,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,39.3,20.6,190.0,3650.0,Male,8.66496,-25.29805,,2007
2007-08,Adelie,Anvers,Torgersen,No,Nov-2007,38.9,17.8,181.0,3625.0,Female,9.18718,-25.21799,Nest never observed with full clutch.,2007
2007-08,Adelie,Anvers,Torgersen,No,Nov-2007,39.2,19.6,195.0,4675.0,Male,9.4606,-24.89958,Nest never observed with full clutch.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,34.1,18.1,193.0,3475.0,,8.978345937020524,-26.391552635862283,No blood sample obtained.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,42.0,20.2,190.0,4250.0,,9.13362,-25.09368,No blood sample obtained for sexing.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,37.8,17.1,186.0,3300.0,,8.63243,-25.21315,No blood sample obtained for sexing.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,37.8,17.3,180.0,3700.0,,8.682496762300646,-26.219641041474194,No blood sample obtained.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,41.1,17.6,182.0,3200.0,Female,9.257669027711454,-25.264737853685308,Not enough blood for isotopes.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,38.6,21.2,191.0,3800.0,Male,8.42985927738452,-26.44134470967216,Not enough blood for isotopes.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,34.6,21.1,198.0,4400.0,Male,8.55583,-25.22588,,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,36.6,17.8,185.0,3700.0,Female,8.463042531119351,-25.40021514495997,Not enough blood for isotopes.,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,38.7,19.0,195.0,3450.0,Female,9.18528,-25.06691,,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,42.5,20.7,197.0,4500.0,Male,8.67538,-25.13993,,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,34.4,18.4,184.0,3325.0,Female,8.47827,-25.23319,,2007
2007-08,Adelie,Anvers,Torgersen,Yes,Nov-2007,46.0,21.5,194.0,4200.0,Male,9.11616,-24.77227,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,37.8,18.3,174.0,3400.0,Female,8.73762,-25.09383,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,37.7,18.7,180.0,3600.0,Male,8.66271,-25.0639,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,35.9,19.2,189.0,3800.0,Female,9.22286,-25.03474,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,38.2,18.1,185.0,3950.0,Male,8.43423,-25.22664,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,38.8,17.2,180.0,3800.0,Male,9.63954,-25.29856,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,35.3,18.9,187.0,3800.0,Female,9.21292,-24.3613,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,40.6,18.6,183.0,3550.0,Male,8.93997,-25.36288,,2007
2007-08,Adelie,Anvers,Biscoe,Yes,Nov-2007,40.5,17.9,187.0,3200.0,Female,8.08138,-25.49448,,2007
2007-08,Adelie,Anvers,Biscoe,No,Nov-2007,37.9,18.6,172.0,3150.0,Female,8.38404,-25.19837,Nest never observed with full clutch.,2007
2007-08,Adelie,Anvers,Biscoe,No,Nov-2007,40.5,18.9,180.0,3950.0,Male,8.90027,-25.11609,Nest never observed with full clutch.,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,39.5,16.7,178.0,3250.0,Female,9.69756,-25.11223,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,37.2,18.1,178.0,3900.0,Male,9.72764,-25.0102,,2007
2007-08,Adelie,Anvers,Dream,Yes,Nov-2007,39.5,17.8,188.0,3300.0,Female,9.66523,-25.0602,,2007
